timestamp,scope,client_count
2026-09-22T12:19:27+09:00,all,0
2026-09-22T13:13:52+09:00,all,0
2026-09-22T17:29:16+09:00,all,0
2026-09-22T18:30:01+09:00,all,0
2026-09-22T18:30:19+09:00,all,0
2026-09-22T18:40:24+09:00,all,0
2026-09-22T18:50:28+09:00,all,0
2026-09-22T19:00:31+09:00,all,0
2026-09-22T19:10:36+09:00,all,0
2026-09-22T19:20:43+09:00,all,0
2026-09-22T19:30:48+09:00,all,0
2026-09-22T19:40:57+09:00,all,0
2026-09-22T19:51:00+09:00,kappa,18
2026-09-22T19:51:00+09:00,epsilon,4
2026-09-22T19:51:00+09:00,iota,3
2026-09-22T19:51:00+09:00,omicron,9
2026-09-22T19:51:00+09:00,delta,39
2026-09-22T19:51:00+09:00,tau,17
2026-09-22T19:51:00+09:00,mu,11
2026-09-22T19:51:00+09:00,omega,0
2026-09-22T19:51:00+09:00,alpha,9
2026-09-22T19:51:00+09:00,theta,4
2026-09-22T19:51:00+09:00,lambda,16
2026-09-22T19:51:00+09:00,sigma,2
2026-09-22T19:51:00+09:00,lounge,1
2026-09-22T19:51:00+09:00,all,133
2026-09-22T20:01:06+09:00,kappa,18
2026-09-22T20:01:06+09:00,epsilon,4
2026-09-22T20:01:06+09:00,iota,2
2026-09-22T20:01:06+09:00,omicron,9
2026-09-22T20:01:06+09:00,delta,38
2026-09-22T20:01:06+09:00,tau,9
2026-09-22T20:01:06+09:00,mu,13
2026-09-22T20:01:06+09:00,omega,0
2026-09-22T20:01:06+09:00,alpha,9
2026-09-22T20:01:06+09:00,theta,2
2026-09-22T20:01:06+09:00,lambda,13
2026-09-22T20:01:06+09:00,sigma,2
2026-09-22T20:01:06+09:00,lounge,0
2026-09-22T20:01:06+09:00,all,119
2026-09-22T20:11:13+09:00,kappa,7
2026-09-22T20:11:13+09:00,epsilon,4
2026-09-22T20:11:13+09:00,iota,2
2026-09-22T20:11:13+09:00,omicron,8
2026-09-22T20:11:13+09:00,delta,37
2026-09-22T20:11:13+09:00,tau,8
2026-09-22T20:11:13+09:00,mu,21
2026-09-22T20:11:13+09:00,omega,0
2026-09-22T20:11:13+09:00,alpha,9
2026-09-22T20:11:13+09:00,theta,0
2026-09-22T20:11:13+09:00,lambda,13
2026-09-22T20:11:13+09:00,sigma,2
2026-09-22T20:11:13+09:00,lounge,0
2026-09-22T20:11:13+09:00,all,111
2026-09-22T20:21:17+09:00,kappa,6
2026-09-22T20:21:17+09:00,epsilon,4
2026-09-22T20:21:17+09:00,iota,2
2026-09-22T20:21:17+09:00,omicron,8
2026-09-22T20:21:17+09:00,delta,34
2026-09-22T20:21:17+09:00,tau,7
2026-09-22T20:21:17+09:00,mu,18
2026-09-22T20:21:17+09:00,omega,1
2026-09-22T20:21:17+09:00,alpha,9
2026-09-22T20:21:17+09:00,theta,0
2026-09-22T20:21:17+09:00,lambda,13
2026-09-22T20:21:17+09:00,sigma,2
2026-09-22T20:21:17+09:00,lounge,0
2026-09-22T20:21:17+09:00,all,104
2026-09-22T20:31:24+09:00,kappa,6
2026-09-22T20:31:24+09:00,epsilon,4
2026-09-22T20:31:24+09:00,iota,2
2026-09-22T20:31:24+09:00,omicron,8
2026-09-22T20:31:24+09:00,delta,34
2026-09-22T20:31:24+09:00,tau,8
2026-09-22T20:31:24+09:00,mu,11
2026-09-22T20:31:24+09:00,omega,0
2026-09-22T20:31:24+09:00,alpha,9
2026-09-22T20:31:24+09:00,theta,0
2026-09-22T20:31:24+09:00,lambda,13
2026-09-22T20:31:24+09:00,sigma,2
2026-09-22T20:31:24+09:00,lounge,0
2026-09-22T20:31:24+09:00,all,97
2026-09-22T20:41:27+09:00,kappa,6
2026-09-22T20:41:27+09:00,epsilon,4
2026-09-22T20:41:27+09:00,iota,2
2026-09-22T20:41:27+09:00,omicron,8
2026-09-22T20:41:27+09:00,delta,34
2026-09-22T20:41:27+09:00,tau,8
2026-09-22T20:41:27+09:00,mu,11
2026-09-22T20:41:27+09:00,omega,0
2026-09-22T20:41:27+09:00,alpha,9
2026-09-22T20:41:27+09:00,theta,0
2026-09-22T20:41:27+09:00,lambda,13
2026-09-22T20:41:27+09:00,sigma,2
2026-09-22T20:41:27+09:00,lounge,0
2026-09-22T20:41:27+09:00,all,97
2026-09-22T20:51:31+09:00,kappa,6
2026-09-22T20:51:31+09:00,epsilon,4
2026-09-22T20:51:31+09:00,iota,2
2026-09-22T20:51:31+09:00,omicron,8
2026-09-22T20:51:31+09:00,delta,34
2026-09-22T20:51:31+09:00,tau,8
2026-09-22T20:51:31+09:00,mu,11
2026-09-22T20:51:31+09:00,omega,0
2026-09-22T20:51:31+09:00,alpha,9
2026-09-22T20:51:31+09:00,theta,0
2026-09-22T20:51:31+09:00,lambda,13
2026-09-22T20:51:31+09:00,sigma,2
2026-09-22T20:51:31+09:00,lounge,0
2026-09-22T20:51:31+09:00,all,97
2026-09-22T21:01:34+09:00,kappa,6
2026-09-22T21:01:34+09:00,epsilon,4
2026-09-22T21:01:34+09:00,iota,2
2026-09-22T21:01:34+09:00,omicron,8
2026-09-22T21:01:34+09:00,delta,34
2026-09-22T21:01:34+09:00,tau,7
2026-09-22T21:01:34+09:00,mu,11
2026-09-22T21:01:34+09:00,omega,0
2026-09-22T21:01:34+09:00,alpha,9
2026-09-22T21:01:34+09:00,theta,0
2026-09-22T21:01:34+09:00,lambda,13
2026-09-22T21:01:34+09:00,sigma,2
2026-09-22T21:01:34+09:00,lounge,0
2026-09-22T21:01:34+09:00,all,96
2026-09-22T21:11:37+09:00,kappa,6
2026-09-22T21:11:37+09:00,epsilon,4
2026-09-22T21:11:37+09:00,iota,2
2026-09-22T21:11:37+09:00,omicron,8
2026-09-22T21:11:37+09:00,delta,34
2026-09-22T21:11:37+09:00,tau,6
2026-09-22T21:11:37+09:00,mu,11
2026-09-22T21:11:37+09:00,omega,0
2026-09-22T21:11:37+09:00,alpha,9
2026-09-22T21:11:37+09:00,theta,0
2026-09-22T21:11:37+09:00,lambda,13
2026-09-22T21:11:37+09:00,sigma,2
2026-09-22T21:11:37+09:00,lounge,0
2026-09-22T21:11:37+09:00,all,95
2026-09-22T21:21:43+09:00,kappa,6
2026-09-22T21:21:43+09:00,epsilon,4
2026-09-22T21:21:43+09:00,iota,3
2026-09-22T21:21:43+09:00,omicron,8
2026-09-22T21:21:43+09:00,delta,34
2026-09-22T21:21:43+09:00,tau,6
2026-09-22T21:21:43+09:00,mu,11
2026-09-22T21:21:43+09:00,omega,0
2026-09-22T21:21:43+09:00,alpha,9
2026-09-22T21:21:43+09:00,theta,0
2026-09-22T21:21:43+09:00,lambda,13
2026-09-22T21:21:43+09:00,sigma,2
2026-09-22T21:21:43+09:00,lounge,0
2026-09-22T21:21:43+09:00,all,96
2026-09-22T21:31:47+09:00,kappa,6
2026-09-22T21:31:47+09:00,epsilon,4
2026-09-22T21:31:47+09:00,iota,2
2026-09-22T21:31:47+09:00,omicron,8
2026-09-22T21:31:47+09:00,delta,34
2026-09-22T21:31:47+09:00,tau,6
2026-09-22T21:31:47+09:00,mu,11
2026-09-22T21:31:47+09:00,omega,0
2026-09-22T21:31:47+09:00,alpha,9
2026-09-22T21:31:47+09:00,theta,0
2026-09-22T21:31:47+09:00,lambda,13
2026-09-22T21:31:47+09:00,sigma,2
2026-09-22T21:31:47+09:00,lounge,1
2026-09-22T21:31:47+09:00,all,96
2026-09-22T21:41:52+09:00,kappa,6
2026-09-22T21:41:52+09:00,epsilon,4
2026-09-22T21:41:52+09:00,iota,2
2026-09-22T21:41:52+09:00,omicron,8
2026-09-22T21:41:52+09:00,delta,34
2026-09-22T21:41:52+09:00,tau,6
2026-09-22T21:41:52+09:00,mu,11
2026-09-22T21:41:52+09:00,omega,0
2026-09-22T21:41:52+09:00,alpha,9
2026-09-22T21:41:52+09:00,theta,0
2026-09-22T21:41:52+09:00,lambda,13
2026-09-22T21:41:52+09:00,sigma,2
2026-09-22T21:41:52+09:00,lounge,1
2026-09-22T21:41:52+09:00,all,96
2026-09-22T21:52:01+09:00,kappa,6
2026-09-22T21:52:01+09:00,epsilon,4
2026-09-22T21:52:01+09:00,iota,2
2026-09-22T21:52:01+09:00,omicron,8
2026-09-22T21:52:01+09:00,delta,34
2026-09-22T21:52:01+09:00,tau,6
2026-09-22T21:52:01+09:00,mu,11
2026-09-22T21:52:01+09:00,omega,0
2026-09-22T21:52:01+09:00,alpha,9
2026-09-22T21:52:01+09:00,theta,0
2026-09-22T21:52:01+09:00,lambda,13
2026-09-22T21:52:01+09:00,sigma,2
2026-09-22T21:52:01+09:00,lounge,0
2026-09-22T21:52:01+09:00,all,95
